,traveled_kilometers,production_year,color,exhibition,adـtype,name_brand,car_name,fuel,engine_status,chassis_status,front_chassis,rear_chassis,body_status,insurance,gearbox,exchange,price
0,190000.0,1381.0,بژ,,,دوو ماتیز,dww mtyz,,سالم,سالم و پلمپ,,,رنگ‌شدگی,1.0,دنده‌ای,,103000000.0
1,230000.0,1393.0,نقره‌ای,,,پژو 405 GLX بنزینی,pjw 405 GLX bnzyny,بنزینی,سالم,سالم و پلمپ,,,دوررنگ,,دنده‌ای,,245000000.0
2,170000.0,1390.0,مشکی,,فروشی,پژو 206 تیپ ۶,pjw 206 typ 6,بنزینی,سالم,سالم و پلمپ,,,دوررنگ,8.0,اتوماتیک,,395000000.0
3,216000.0,1396.0,سفید,,,پراید 131 SE,pryd 131 SE,بنزینی,سالم,,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,1.0,دنده‌ای,,180000000.0
4,350000.0,1381.0,ذغالی,,,پراید صندوق‌دار بنزینی,pryd Sndwqdr bnzyny,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,9.0,دنده‌ای,,100000000.0
5,123456.0,1384.0,سفید,,,پراید هاچبک,pryd hchbkh,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,7.0,دنده‌ای,,145000000.0
6,80000.0,1396.0,سفید,,فروشی,چری تیگو 5 اکسلنت,chry tygw 5 khslnt,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,8.0,اتوماتیک,,870000000.0
7,200000.0,1390.0,سفید,,,پراید 131 SX,pryd 131 SX,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,6.0,دنده‌ای,,195000000.0
8,23000.0,1399.0,سفید,,,وانت آریسان دوگانه سوز,wnt arysn dwgnh swz,دوگانه‌سوز شرکتی,سالم,سالم و پلمپ,,,خط و خش جزیی,4.0,دنده‌ای,,310000000.0
9,43.0,1402.0,سفید,,,پژو 207i پانوراما دنده‌ای,pjw 207i pnwrm dndhy,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,دنده‌ای,,740000000.0
10,178000.0,1385.0,خاکستری,,,پژو 405 GLX بنزینی,pjw 405 GLX bnzyny,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,7.0,دنده‌ای,,200000000.0
11,39000.0,1398.0,سفید,,,تیبا صندوق‌دار SX,tyb Sndwqdr SX,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,8.0,,,270000000.0
12,146000.0,1393.0,سفید,,,پراید 131 SE,pryd 131 SE,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,7.0,دنده‌ای,,235000000.0
13,300000.0,1992.0,سفید,,,نیسان پاترول 2 در 4 سیلندر,nysn ptrwl 2 dr 4 sylndr,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,دنده‌ای,هستم,310000000.0
14,150000.0,1391.0,سفید,,,سمند SE,smnd SE,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,1.0,دنده‌ای,,210000000.0
15,9000.0,1399.0,مشکی,,فروشی,کوییک دنده‌ای R,khwyykh dndhy R,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,8.0,دنده‌ای,,295000000.0
